id	basisOfRecord	occurrenceID	sex	lifeStage	eventID	scientificNameID	scientificName
Cruise10:Station75:EventSorbeSledge966:Subsample300	HumanObservation	Ugenthyperbenthos45979	Unknown	Unknown	Cruise10:Station75:EventSorbeSledge966:Subsample300	urn:lsid:marinespecies.org:taxname:127139	Limanda limanda
Cruise12:Station103:EventSorbeSledge992:Subsample414	HumanObservation	Ugenthyperbenthos94510	Unknown	Postlarva	Cruise12:Station103:EventSorbeSledge992:Subsample414	urn:lsid:marinespecies.org:taxname:125999	Pomatoschistus sp.
Cruise12:Station97:EventSorbeSledge986:Subsample390	HumanObservation	Ugenthyperbenthos97525	Unknown	Adult	Cruise12:Station97:EventSorbeSledge986:Subsample390	urn:lsid:marinespecies.org:taxname:126925	Pomatoschistus lozanoi
Cruise12:Station97:EventSorbeSledge986:Subsample390	HumanObservation	Ugenthyperbenthos97526	Unknown	Adult	Cruise12:Station97:EventSorbeSledge986:Subsample390	urn:lsid:marinespecies.org:taxname:107551	Crangon allmani
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95453	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:106386	Pleurobrachia pileus
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95454	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:883	Polychaeta sp.
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95455	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:105450	Sagitta elegans
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95456	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:110472	Diastylis bradi
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95457	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:110487	Diastylis rathkei
Cruise13:Station108:EventSorbeSledge997:Subsample17345	HumanObservation	Ugenthyperbenthos95458	Unknown	Unknown	Cruise13:Station108:EventSorbeSledge997:Subsample17345	urn:lsid:marinespecies.org:taxname:102275	Gammarus crinicornis
